City,Property_name,Category,Booking_platform,Check_in_date,Total_successful_bookings,Total_capacity,Occupancy%,column1
Bangalore,Atliq Blu,Luxury,makeyourtrip,10-Jul-22,94265,129753,0.7264957264957265,10 Jul 2022
Bangalore,Atliq Blu,Luxury,logtrip,02-Jul-22,51600,70200,0.7350427350427351,02 Jul 2022
Bangalore,Atliq Palace,Business,makeyourtrip,24-Jun-22,47940,112200,0.42727272727272725,24 Jun 2022
Bangalore,Atliq Palace,Business,others,15-May-22,163080,249150,0.6545454545454545,15 May 2022
Bangalore,Atliq Palace,Business,direct online,31-May-22,23540,58850,0.4,31 May 2022
Bangalore,Atliq Palace,Business,journey,07-May-22,24717,35310,0.7,07 May 2022
Mumbai,Atliq Seasons,Business,direct offline,24-Jun-22,7128,19206,0.3711340206185567,24 Jun 2022
Mumbai,Atliq Seasons,Business,direct offline,17-May-22,6930,19206,0.36082474226804123,17 May 2022
Hyderabad,Atliq City,Business,direct online,21-Jul-22,40656,67144,0.6055045871559633,21 Jul 2022
Delhi,Atliq Grands,Luxury,logtrip,17-May-22,9828,18252,0.5384615384615384,17 May 2022
Delhi,Atliq Grands,Luxury,tripster,17-Jun-22,7099,11908,0.5961538461538461,17 Jun 2022
Delhi,Atliq Grands,Luxury,journey,28-Jun-22,6072,9568,0.6346153846153846,28 Jun 2022
Mumbai,Atliq Exotica,Luxury,journey,22-Jul-22,46968,93014,0.504956243146193,22 Jul 2022
Mumbai,Atliq Exotica,Luxury,makeyourtrip,26-May-22,196543,296230,0.663481078891402,26 May 2022
Mumbai,Atliq Exotica,Luxury,direct online,28-May-22,139855,152883,0.9147845084149316,28 May 2022
Delhi,Atliq City,Business,journey,12-Jun-22,20732,27740,0.7473684210526316,12 Jun 2022
Delhi,Atliq City,Business,others,12-Jun-22,135823,181735,0.7473684210526316,12 Jun 2022
Delhi,Atliq City,Business,others,21-May-22,110954,181735,0.6105263157894737,21 May 2022
Delhi,Atliq Blu,Luxury,makeyourtrip,29-Jul-22,38598,67087,0.5753424657534246,29 Jul 2022
Delhi,Atliq Bay,Luxury,tripster,29-Jun-22,18850,36946,0.5102040816326531,29 Jun 2022
Delhi,Atliq Bay,Luxury,makeyourtrip,21-May-22,58842,91532,0.6428571428571429,21 May 2022
Delhi,Atliq Bay,Luxury,journey,30-Jul-22,14893,27538,0.5408163265306123,30 Jul 2022
Delhi,Atliq Bay,Luxury,journey,05-Jun-22,21075,27538,0.7653061224489796,05 Jun 2022
Delhi,Atliq Bay,Luxury,direct online,15-May-22,27775,49490,0.5612244897959183,15 May 2022
Delhi,Atliq Palace,Business,others,15-Jul-22,213087,341523,0.6239316239316239,15 Jul 2022
Delhi,Atliq Palace,Business,logtrip,01-Jul-22,58016,91728,0.6324786324786325,01 Jul 2022
Mumbai,Atliq Grands,Luxury,journey,17-Jul-22,19026,30804,0.6176470588235294,17 Jul 2022
Mumbai,Atliq Grands,Luxury,direct online,18-Jul-22,19516,48552,0.4019607843137255,18 Jul 2022
Mumbai,Atliq Grands,Luxury,direct online,07-Jul-22,26656,48552,0.5490196078431373,07 Jul 2022
Mumbai,Atliq City,Business,makeyourtrip,14-Jul-22,81872,148092,0.5528455284552846,14 Jul 2022
Mumbai,Atliq City,Business,logtrip,01-Jun-22,33100,81426,0.4065040650406504,01 Jun 2022
Mumbai,Atliq City,Business,direct offline,07-Jul-22,18848,37392,0.5040650406504065,07 Jul 2022
Mumbai,Atliq City,Business,direct offline,11-Jun-22,26448,37392,0.7073170731707317,11 Jun 2022
Mumbai,Atliq Blu,Luxury,logtrip,23-Jul-22,35406,47770,0.7411764705882353,23 Jul 2022
Mumbai,Atliq Blu,Luxury,logtrip,03-May-22,30348,47770,0.6352941176470588,03 May 2022
Mumbai,Atliq Blu,Luxury,tripster,08-Jun-22,18709,30005,0.6235294117647059,08 Jun 2022
Mumbai,Atliq Bay,Luxury,journey,22-May-22,10070,15770,0.6385542168674698,22 May 2022
Mumbai,Atliq Bay,Luxury,makeyourtrip,07-Jun-22,25456,57104,0.4457831325301205,07 Jun 2022
Mumbai,Atliq Bay,Luxury,logtrip,22-Jul-22,12586,33698,0.37349397590361444,22 Jul 2022
Mumbai,Atliq Bay,Luxury,logtrip,02-Jun-22,12586,33698,0.37349397590361444,02 Jun 2022
Mumbai,Atliq Palace,Business,others,28-Jul-22,132396,269984,0.49038461538461536,28 Jul 2022
Mumbai,Atliq Palace,Business,others,12-Jul-22,179124,269984,0.6634615384615384,12 Jul 2022
Mumbai,Atliq Palace,Business,tripster,18-Jul-22,23980,45344,0.5288461538461539,18 Jul 2022
Mumbai,Atliq Palace,Business,direct online,26-Jun-22,58310,61880,0.9423076923076923,26 Jun 2022
Hyderabad,Atliq Exotica,Luxury,journey,09-Jul-22,22875,39040,0.5859375,09 Jul 2022
Hyderabad,Atliq Exotica,Luxury,tripster,21-May-22,22401,50304,0.4453125,21 May 2022
Hyderabad,Atliq Exotica,Luxury,makeyourtrip,26-Jul-22,43050,134400,0.3203125,26 Jul 2022
Hyderabad,Atliq City,Business,others,16-May-22,157605,301385,0.5229357798165137,16 May 2022
Hyderabad,Atliq City,Business,journey,01-Jul-22,27790,43273,0.6422018348623854,01 Jul 2022
Hyderabad,Atliq Blu,Luxury,direct online,28-Jul-22,37236,68694,0.5420560747663551,28 Jul 2022
Hyderabad,Atliq Blu,Luxury,direct online,27-Jun-22,43014,68694,0.6261682242990654,27 Jun 2022
Hyderabad,Atliq Blu,Luxury,journey,18-Jul-22,21306,43014,0.4953271028037383,18 Jul 2022
Hyderabad,Atliq Bay,Luxury,others,29-Jul-22,199593,360459,0.5537190082644629,29 Jul 2022
Hyderabad,Atliq Bay,Luxury,others,01-Jul-22,229383,360459,0.6363636363636364,01 Jul 2022
Hyderabad,Atliq Bay,Luxury,logtrip,11-May-22,57498,94017,0.6115702479338843,11 May 2022
Hyderabad,Atliq Palace,Business,others,15-Jun-22,97265,192545,0.5051546391752577,15 Jun 2022
Hyderabad,Atliq Palace,Business,journey,14-Jul-22,15200,29488,0.5154639175257731,14 Jul 2022
Hyderabad,Atliq Palace,Business,logtrip,12-Jul-22,24000,48500,0.4948453608247423,12 Jul 2022
Hyderabad,Atliq Palace,Business,tripster,13-Jul-22,16450,31913,0.5154639175257731,13 Jul 2022
Bangalore,Atliq Grands,Luxury,others,29-Jun-22,83660,190460,0.4392523364485981,29 Jun 2022
Bangalore,Atliq Grands,Luxury,makeyourtrip,01-Jun-22,31824,94588,0.3364485981308411,01 Jun 2022
Bangalore,Atliq Grands,Luxury,logtrip,08-Jul-22,20378,47401,0.42990654205607476,08 Jul 2022
Bangalore,Atliq Grands,Luxury,journey,22-Jul-22,10878,27713,0.3925233644859813,22 Jul 2022
Bangalore,Atliq Grands,Luxury,journey,09-Jun-22,12691,27713,0.45794392523364486,09 Jun 2022
Bangalore,Atliq Grands,Luxury,tripster,03-May-22,15504,34561,0.4485981308411215,03 May 2022
Bangalore,Atliq Grands,Luxury,direct offline,17-Jul-22,12264,23433,0.5233644859813084,17 Jul 2022
Bangalore,Atliq Exotica,Luxury,makeyourtrip,10-Jul-22,63376,88540,0.7157894736842105,10 Jul 2022
Bangalore,Atliq Exotica,Luxury,others,24-Jul-22,114637,184585,0.6210526315789474,24 Jul 2022
Bangalore,Atliq Exotica,Luxury,others,17-Jul-22,106865,184585,0.5789473684210527,17 Jul 2022
Bangalore,Atliq City,Business,journey,01-May-22,29939,32571,0.9191919191919192,01 May 2022
Bangalore,Atliq Blu,Luxury,makeyourtrip,26-Jul-22,52123,129753,0.4017094017094017,26 Jul 2022
Bangalore,Atliq Blu,Luxury,direct offline,21-Jul-22,14784,36036,0.41025641025641024,21 Jul 2022
Bangalore,Atliq Blu,Luxury,tripster,03-Jun-22,22236,51012,0.4358974358974359,03 Jun 2022
Bangalore,Atliq Bay,Luxury,others,13-Jul-22,144420,231072,0.625,13 Jul 2022
Bangalore,Atliq Bay,Luxury,logtrip,20-May-22,29937,56352,0.53125,20 May 2022
Bangalore,Atliq Bay,Luxury,direct online,05-May-22,37262,57696,0.6458333333333334,05 May 2022
Bangalore,Atliq Palace,Business,journey,06-Jul-22,18297,35310,0.5181818181818182,06 Jul 2022
Mumbai,Atliq Seasons,Business,makeyourtrip,29-Jul-22,30155,79055,0.38144329896907214,29 Jul 2022
Mumbai,Atliq Seasons,Business,journey,27-May-22,9143,21631,0.422680412371134,27 May 2022
Mumbai,Atliq Seasons,Business,direct offline,27-Jun-22,7326,19206,0.38144329896907214,27 Jun 2022
Delhi,Atliq Grands,Luxury,logtrip,22-Jul-22,9828,18252,0.5384615384615384,22 Jul 2022
Mumbai,Atliq Exotica,Luxury,journey,30-May-22,49821,93014,0.5356290450899864,30 May 2022
Mumbai,Atliq Exotica,Luxury,makeyourtrip,18-May-22,145958,296230,0.4927184957634271,18 May 2022
Mumbai,Atliq Exotica,Luxury,direct offline,03-May-22,47140,75354,0.6255805929346816,03 May 2022
Mumbai,Atliq Exotica,Luxury,direct online,06-May-22,95001,152883,0.621396754380801,06 May 2022
Mumbai,Atliq Exotica,Luxury,logtrip,30-Jun-22,106474,171611,0.6204380838058167,30 Jun 2022
Delhi,Atliq City,Business,journey,13-Jul-22,15184,27740,0.5473684210526316,13 Jul 2022
Delhi,Atliq City,Business,others,08-May-22,135823,181735,0.7473684210526316,08 May 2022
Delhi,Atliq Blu,Luxury,makeyourtrip,25-Jul-22,32165,67087,0.4794520547945205,25 Jul 2022
Delhi,Atliq Blu,Luxury,direct offline,12-May-22,10442,16571,0.6301369863013698,12 May 2022
Delhi,Atliq Bay,Luxury,tripster,12-Jun-22,26767,36946,0.7244897959183674,12 Jun 2022
Delhi,Atliq Bay,Luxury,tripster,08-Jun-22,19227,36946,0.5204081632653061,08 Jun 2022
Delhi,Atliq Bay,Luxury,others,08-Jun-22,100062,192276,0.5204081632653061,08 Jun 2022
Delhi,Atliq Bay,Luxury,makeyourtrip,11-May-22,46700,91532,0.5102040816326531,11 May 2022
Delhi,Atliq Palace,Business,others,24-Jun-22,189735,341523,0.5555555555555556,24 Jun 2022
Delhi,Atliq Palace,Business,direct offline,04-Jul-22,24353,40131,0.6068376068376068,04 Jul 2022
Delhi,Atliq Palace,Business,logtrip,07-Jul-22,54880,91728,0.5982905982905983,07 Jul 2022
Delhi,Atliq Palace,Business,logtrip,06-May-22,59584,91728,0.6495726495726496,06 May 2022
Mumbai,Atliq Grands,Luxury,others,12-May-22,109674,207162,0.5294117647058824,12 May 2022
Mumbai,Atliq Grands,Luxury,makeyourtrip,14-Jun-22,55276,108426,0.5098039215686274,14 Jun 2022
Mumbai,Atliq Grands,Luxury,logtrip,31-Jul-22,34770,58140,0.5980392156862745,31 Jul 2022
Mumbai,Atliq Grands,Luxury,tripster,22-Jun-22,17202,37332,0.46078431372549017,22 Jun 2022
Mumbai,Atliq Grands,Luxury,direct online,20-May-22,19040,48552,0.39215686274509803,20 May 2022
Mumbai,Atliq City,Business,tripster,04-Jun-22,29877,53259,0.5609756097560976,04 Jun 2022
Mumbai,Atliq City,Business,journey,11-May-22,22750,43050,0.5284552845528455,11 May 2022
Mumbai,Atliq Blu,Luxury,logtrip,23-May-22,32034,47770,0.6705882352941176,23 May 2022
Mumbai,Atliq Palace,Business,journey,29-Jun-22,26384,40352,0.6538461538461539,29 Jun 2022
Mumbai,Atliq Palace,Business,direct online,13-Jun-22,40460,61880,0.6538461538461539,13 Jun 2022
Hyderabad,Atliq Grands,Luxury,makeyourtrip,25-Jul-22,35644,85358,0.4175824175824176,25 Jul 2022
Hyderabad,Atliq Grands,Luxury,makeyourtrip,09-May-22,44086,85358,0.5164835164835165,09 May 2022
Hyderabad,Atliq Grands,Luxury,tripster,26-May-22,14220,28756,0.4945054945054945,26 May 2022
Hyderabad,Atliq Grands,Luxury,tripster,12-May-22,14536,28756,0.5054945054945055,12 May 2022
Hyderabad,Atliq Exotica,Luxury,journey,14-Jul-22,15860,39040,0.40625,14 Jul 2022
Hyderabad,Atliq City,Business,logtrip,02-Jul-22,72814,80987,0.8990825688073395,02 Jul 2022
Hyderabad,Atliq City,Business,journey,19-Jun-22,36524,43273,0.8440366972477065,19 Jun 2022
Hyderabad,Atliq City,Business,journey,07-May-22,39700,43273,0.9174311926605505,07 May 2022
Hyderabad,Atliq City,Business,tripster,23-May-22,31464,49704,0.6330275229357798,23 May 2022
Hyderabad,Atliq Blu,Luxury,logtrip,30-Jul-22,60228,76719,0.7850467289719626,30 Jul 2022
Hyderabad,Atliq Blu,Luxury,logtrip,18-Jun-22,68832,76719,0.897196261682243,18 Jun 2022
Hyderabad,Atliq Blu,Luxury,tripster,16-May-22,22880,44512,0.514018691588785,16 May 2022
Hyderabad,Atliq Bay,Luxury,others,11-Jul-22,226404,360459,0.628099173553719,11 Jul 2022
Hyderabad,Atliq Bay,Luxury,logtrip,24-Jun-22,45843,94017,0.48760330578512395,24 Jun 2022
Hyderabad,Atliq Bay,Luxury,journey,29-Jun-22,32042,52393,0.6115702479338843,29 Jun 2022
Hyderabad,Atliq Palace,Business,others,16-May-22,79400,192545,0.41237113402061853,16 May 2022
Bangalore,Atliq Grands,Luxury,logtrip,18-Jul-22,17277,47401,0.3644859813084112,18 Jul 2022
Bangalore,Atliq Grands,Luxury,tripster,02-Jul-22,19380,34561,0.5607476635514018,02 Jul 2022
Bangalore,Atliq Grands,Luxury,tripster,28-May-22,21964,34561,0.6355140186915887,28 May 2022
Bangalore,Atliq Grands,Luxury,tripster,27-May-22,15504,34561,0.4485981308411215,27 May 2022
Bangalore,Atliq Exotica,Luxury,direct online,23-Jul-22,27000,42750,0.631578947368421,23 Jul 2022
Bangalore,Atliq Exotica,Luxury,journey,25-Jun-22,16756,26980,0.6210526315789474,25 Jun 2022
Bangalore,Atliq City,Business,others,08-May-22,211560,243540,0.8686868686868687,08 May 2022
Bangalore,Atliq City,Business,direct offline,11-Jun-22,27056,30096,0.898989898989899,11 Jun 2022
Bangalore,Atliq City,Business,direct offline,20-May-22,15504,30096,0.5151515151515151,20 May 2022
Bangalore,Atliq Blu,Luxury,others,26-Jul-22,110403,274833,0.4017094017094017,26 Jul 2022
Bangalore,Atliq Blu,Luxury,direct offline,29-Jul-22,14476,36036,0.4017094017094017,29 Jul 2022
Bangalore,Atliq Blu,Luxury,direct online,18-Jun-22,46412,66222,0.7008547008547008,18 Jun 2022
Bangalore,Atliq Blu,Luxury,direct online,04-May-22,29998,66222,0.452991452991453,04 May 2022
Bangalore,Atliq Bay,Luxury,logtrip,22-May-22,48721,56352,0.8645833333333334,22 May 2022
Bangalore,Atliq Bay,Luxury,makeyourtrip,15-Jul-22,76096,114144,0.6666666666666666,15 Jul 2022
Bangalore,Atliq Bay,Luxury,direct offline,16-May-22,14900,28608,0.5208333333333334,16 May 2022
Bangalore,Atliq Bay,Luxury,direct offline,06-May-22,19072,28608,0.6666666666666666,06 May 2022
Bangalore,Atliq Palace,Business,direct online,21-May-22,34240,58850,0.5818181818181818,21 May 2022
Bangalore,Atliq Palace,Business,direct offline,20-Jun-22,13475,30250,0.44545454545454544,20 Jun 2022
Bangalore,Atliq Palace,Business,tripster,12-May-22,20124,42570,0.4727272727272727,12 May 2022
Mumbai,Atliq Seasons,Business,others,25-Jul-22,55114,157237,0.35051546391752575,25 Jul 2022
Mumbai,Atliq Seasons,Business,others,15-Jun-22,72945,157237,0.4639175257731959,15 Jun 2022
Mumbai,Atliq Seasons,Business,others,05-Jun-22,97260,157237,0.6185567010309279,05 Jun 2022
Mumbai,Atliq Seasons,Business,direct online,17-May-22,14140,39188,0.36082474226804123,17 May 2022
Mumbai,Atliq Seasons,Business,logtrip,28-Jul-22,15120,41904,0.36082474226804123,28 Jul 2022
Mumbai,Atliq Seasons,Business,direct offline,02-Jun-22,7722,19206,0.4020618556701031,02 Jun 2022
Delhi,Atliq Grands,Luxury,direct online,27-Jul-22,8208,15808,0.5192307692307693,27 Jul 2022
Delhi,Atliq Grands,Luxury,tripster,11-Jul-22,7786,11908,0.6538461538461539,11 Jul 2022
Delhi,Atliq Grands,Luxury,journey,13-May-22,6072,9568,0.6346153846153846,13 May 2022
Delhi,Atliq Grands,Luxury,direct offline,20-Jun-22,4620,8580,0.5384615384615384,20 Jun 2022
Mumbai,Atliq Exotica,Luxury,journey,06-Jun-22,57942,93014,0.6229384823789967,06 Jun 2022
Mumbai,Atliq Exotica,Luxury,direct offline,05-Jul-22,46520,75354,0.6173527616317648,05 Jul 2022
Mumbai,Atliq Exotica,Luxury,logtrip,04-Jul-22,109536,171611,0.6382807628881598,04 Jul 2022
Mumbai,Atliq Exotica,Luxury,logtrip,13-Jun-22,105792,171611,0.6164639795817285,13 Jun 2022
Delhi,Atliq City,Business,tripster,29-Jul-22,13260,32300,0.4105263157894737,29 Jul 2022
Delhi,Atliq City,Business,tripster,08-May-22,24140,32300,0.7473684210526316,08 May 2022
Delhi,Atliq City,Business,journey,27-Jul-22,11096,27740,0.4,27 Jul 2022
Delhi,Atliq City,Business,others,01-May-22,133910,181735,0.7368421052631579,01 May 2022
Delhi,Atliq City,Business,direct online,24-Jun-22,17745,43225,0.4105263157894737,24 Jun 2022
Delhi,Atliq Blu,Luxury,tripster,31-Jul-22,17864,23287,0.7671232876712328,31 Jul 2022
Delhi,Atliq Blu,Luxury,others,26-Jun-22,112833,130743,0.863013698630137,26 Jun 2022
Delhi,Atliq Blu,Luxury,direct online,24-Jul-22,23912,31171,0.7671232876712328,24 Jul 2022
Delhi,Atliq Bay,Luxury,makeyourtrip,27-Jun-22,47634,91532,0.5204081632653061,27 Jun 2022
Delhi,Atliq Bay,Luxury,makeyourtrip,21-Jun-22,42030,91532,0.45918367346938777,21 Jun 2022
Delhi,Atliq Palace,Business,others,28-Jun-22,213087,341523,0.6239316239316239,28 Jun 2022
Delhi,Atliq Palace,Business,others,07-Jun-22,224763,341523,0.6581196581196581,07 Jun 2022
Delhi,Atliq Palace,Business,tripster,25-May-22,34500,58500,0.5897435897435898,25 May 2022
Delhi,Atliq Palace,Business,tripster,05-May-22,40500,58500,0.6923076923076923,05 May 2022
Delhi,Atliq Palace,Business,direct offline,19-Jun-22,27783,40131,0.6923076923076923,19 Jun 2022
Delhi,Atliq Palace,Business,direct online,08-Jun-22,52950,82602,0.6410256410256411,08 Jun 2022
Mumbai,Atliq Grands,Luxury,makeyourtrip,20-Jul-22,48898,108426,0.45098039215686275,20 Jul 2022
Mumbai,Atliq Grands,Luxury,makeyourtrip,10-Jun-22,57402,108426,0.5294117647058824,10 Jun 2022
Mumbai,Atliq Grands,Luxury,journey,08-Jul-22,15100,30804,0.49019607843137253,08 Jul 2022
Mumbai,Atliq Grands,Luxury,tripster,20-May-22,14640,37332,0.39215686274509803,20 May 2022
Mumbai,Atliq City,Business,others,26-Jun-22,212976,301104,0.7073170731707317,26 Jun 2022
Mumbai,Atliq City,Business,logtrip,05-Jun-22,58256,81426,0.7154471544715447,05 Jun 2022
Mumbai,Atliq Blu,Luxury,others,24-Jun-22,89502,181135,0.49411764705882355,24 Jun 2022
Mumbai,Atliq Blu,Luxury,makeyourtrip,08-May-22,80027,86105,0.9294117647058824,08 May 2022
Mumbai,Atliq Bay,Luxury,tripster,30-Jul-22,10373,20999,0.4939759036144578,30 Jul 2022
Mumbai,Atliq Bay,Luxury,makeyourtrip,19-May-22,18576,57104,0.3253012048192771,19 May 2022
Mumbai,Atliq Bay,Luxury,logtrip,05-May-22,14210,33698,0.42168674698795183,05 May 2022
Mumbai,Atliq Palace,Business,others,03-Jun-22,137588,269984,0.5096153846153846,03 Jun 2022
Mumbai,Atliq Palace,Business,tripster,15-May-22,33136,45344,0.7307692307692307,15 May 2022
Hyderabad,Atliq Grands,Luxury,journey,29-May-22,15008,24388,0.6153846153846154,29 May 2022
Hyderabad,Atliq Exotica,Luxury,direct offline,04-Jul-22,14469,34944,0.4140625,04 Jul 2022
Hyderabad,Atliq Exotica,Luxury,journey,23-May-22,16470,39040,0.421875,23 May 2022
Hyderabad,Atliq Exotica,Luxury,others,05-Jul-22,115170,268032,0.4296875,05 Jul 2022
Hyderabad,Atliq Exotica,Luxury,others,30-May-22,98418,268032,0.3671875,30 May 2022
Hyderabad,Atliq Exotica,Luxury,others,29-May-22,136110,268032,0.5078125,29 May 2022
Hyderabad,Atliq Exotica,Luxury,logtrip,12-Jun-22,43734,75648,0.578125,12 Jun 2022
Hyderabad,Atliq City,Business,others,11-Jul-22,190785,301385,0.6330275229357798,11 Jul 2022
Hyderabad,Atliq City,Business,makeyourtrip,27-Jun-22,88641,144207,0.6146788990825688,27 Jun 2022
Hyderabad,Atliq City,Business,logtrip,31-Jul-22,63155,80987,0.7798165137614679,31 Jul 2022
Hyderabad,Atliq City,Business,journey,04-May-22,29775,43273,0.6880733944954128,04 May 2022
Hyderabad,Atliq Blu,Luxury,direct offline,21-Jul-22,15550,33277,0.4672897196261682,21 Jul 2022
Hyderabad,Atliq Blu,Luxury,direct offline,09-Jul-22,28612,33277,0.8598130841121495,09 Jul 2022
Hyderabad,Atliq Bay,Luxury,tripster,21-May-22,47241,65703,0.71900826446281,21 May 2022
Hyderabad,Atliq Bay,Luxury,tripster,12-May-22,39639,65703,0.6033057851239669,12 May 2022
